职位名称,薪资范围,地点,工作经验,学历要求,岗位标签,公司名称,公司类型,公司规模
数据分析师,1万-1.7万,上海-闵行区,1-3年,本科,"['SQL', 'Excel']",微创软件,合资 ,10000人以上 
电商数据分析师,1.5万-2.5万,上海-闵行区,1-3年,本科,['电商数据分析'],云南白药集团股份有限公司,股份制企业 ,1000-9999人 
电商数据统计分析,5千-8千,上海,不限,大专,"['商业数据分析', '销售数据分析', '经营数据分析', '市场数据分析', '电商数据分析']",上海好玩聚儿童用品有限公司,国企 ,20人以下 
数据分析师课程上海/培训招生,8千-1.2万,上海-黄浦区,不限,大专,"['Python', '数据挖掘', '数据清洗', '数据采集', '反爬虫', '分布式爬虫', '爬虫开发']",51Testing,民营 ,100-299人 
数据分析专员,4千-5千,上海-静安区,无经验,本科,"['行业分析', '数据挖掘', '数据采集', 'SQL']",上海同界数据科技股份有限公司,民营 ,20-99人 
【银行正编】数据分析师,1万-2万,上海-浦东新区,1-3年,本科,"['数据分析', 'SQL', 'SPSS', 'Python', '决策树', 'SAS', '电商数据分析', '金融数据分析']",深圳南区人瑞人力资源服务有限公司,上市公司 ,10000人以上 
数据分析师(接受无经验),8千-1万,上海-黄浦区,不限,大专,"['SPSS', 'SAS', 'R', 'Excel']",北京梦十分教育咨询有限公司,民营 ,20-99人 
Power BI数据分析师,8千-1.4万,上海-静安区,1-3年,大专,"['Power BI', 'BI', '数据分析', '数据仓库']",敏捷艾科,民营 ,20-99人 
数据分析专员,9千-1.5万,上海,1-3年,本科,"['数据分析', '数据挖掘', 'SQL']",南京飞勒克工业设备有限公司,外商独资 ,100-299人 
数据分析项目助理,7千-9千,上海-静安区,1-3年,本科,"['数据分析', 'MySQL', 'Python', 'Power BI', 'office']",上海同界数据科技股份有限公司,民营 ,20-99人 
初级数据,7千-9千,上海-浦东新区,1-3年,本科,"['SQL', '数据库', '数据仓库', '数据分析']",博彦科技,上市公司 ,10000人以上 
数据录入,6千-8千,上海-浦东新区,不限,大专,"['SAS', 'SPSS', 'R', 'Excel']",北京梦十分教育咨询有限公司,民营 ,20-99人 
数据专员,8千-1.1万,上海-静安区,不限,本科,"['SQL', 'Python', '数据分析', 'Power BI', 'Pandas', '数据清洗']",上海前途出国留学服务有限公司,民营 ,500-999人 
风险策略分析师,2万-3万,上海-浦东新区,不限,本科,"['Python', 'SQL', 'SAS', '银行', '消费金融', '互联网金融', '风险策略', 'R']",北京安德信业信息咨询有限责任公司,民营 ,100-299人 
电商数据经理,8千-1.2万,上海-徐汇区,1-3年,大专,['数据分析'],畅卉(上海)电子商务有限公司,民营 ,20人以下 
